Destinations,Feedback score,Star rating,All-inclusive,Most visited cities,Price for 10 days pp
Spain,7,3.2,220,Barcelona,1200
Italy,9,4.1,180,Rome,1000
Portugal,5,3.1,134,Lisbon,900
Iceland,1,3.5,86,Reykjavik,1200
UK,8,3.7,95,London,1500
Switzerland,9,4.2,60,Geneva,1800
Sweden,4,3.6,99,Stockholm,1100
Austria,5,4,45,Viena,1200
Russia,4,3.3,89,Moscow,800
Mongolia,1,3.2,32,Ulan-Bator,1000
Japan,8,4.2,85,Tokyo,1600
South Korea,3,3.9,110,Busan,1800
China,4,3.1,230,Beijing,1300
Kazakhstan,1,3,112,Almaty,900
UAE,8,4.6,260,Dubai,1800
Turkey,7,4.4,340,Antalya,1000
